"";"Version..0...Fixed.Task.";"Task";"Concept";"Att.1...Doppelseitiges.Drucken";"Att.2...Scan.Funktion";"Att.3...Eco.Modus";"Att.4...Kosten.pro.Seite..in.cent.";"Att.5...Heft..und.Lochfunktion";"Att.6...Sterne.Bewertung.von.1..schlecht..bis.5..gut.";"Att.7...Preis"
"233";5;9;1;2;1;2;1;1;1;5
"234";5;9;2;1;2;2;2;1;4;1
"235";5;9;3;2;1;1;1;1;2;4
"236";5;9;4;2;1;2;3;2;2;1
"237";5;10;1;2;2;1;3;1;3;2
"238";5;10;2;1;1;1;2;1;4;3
"239";5;10;3;2;1;1;3;2;2;4
"240";5;10;4;2;2;2;2;2;2;4
"241";5;11;1;1;1;1;3;1;2;5
"242";5;11;2;1;2;1;2;1;3;2
"243";5;11;3;2;2;1;1;1;3;3
"244";5;11;4;1;2;2;1;2;2;3
"245";5;12;1;1;2;2;1;1;3;3
"246";5;12;2;2;1;2;3;1;4;2
"247";5;12;3;1;2;1;2;1;2;4
"248";5;12;4;2;1;1;2;1;4;3
"249";6;1;1;1;1;1;3;2;4;1
"250";6;1;2;2;1;1;2;1;4;5
"251";6;1;3;1;2;2;2;2;2;3
"252";6;1;4;2;1;2;3;1;3;2
"253";6;2;1;2;2;1;2;1;4;1
"254";6;2;2;2;1;1;2;2;3;1
"255";6;2;3;2;2;2;2;2;3;3
"256";6;2;4;1;2;2;2;1;1;1
"257";6;3;1;1;2;1;1;2;2;3
"258";6;3;2;2;1;1;3;2;1;5
"259";6;3;3;2;2;2;1;2;2;1
"260";6;3;4;1;1;1;1;2;2;4
"261";6;4;1;1;1;1;2;2;1;4
"262";6;4;2;1;2;2;1;1;3;5
"263";6;4;3;2;1;2;3;1;4;4
"264";6;4;4;1;1;1;1;1;1;4
"265";6;5;1;2;2;2;1;2;1;3
"266";6;5;2;1;1;2;1;1;2;5
"267";6;5;3;2;2;1;2;1;1;2
"268";6;5;4;1;1;1;2;1;1;3
"269";6;6;1;2;1;1;3;1;4;1
"270";6;6;2;2;1;2;1;2;2;4
"271";6;6;3;1;2;1;1;2;2;3
"272";6;6;4;1;2;2;1;1;2;2
"273";6;7;1;1;2;1;3;1;2;1
"274";6;7;2;1;2;1;1;2;1;2
"275";6;7;3;2;2;1;1;1;1;5
"276";6;7;4;1;2;1;2;2;2;5
"277";6;8;1;2;2;1;1;1;4;5
"278";6;8;2;1;1;2;2;2;3;3
"279";6;8;3;2;1;1;2;1;3;1
"280";6;8;4;2;1;2;3;2;3;5
"281";6;9;1;1;1;1;3;2;2;5
"282";6;9;2;2;1;2;2;2;2;3
"283";6;9;3;1;2;2;1;1;4;2
"284";6;9;4;2;1;1;3;2;2;4
"285";6;10;1;1;1;2;3;2;3;5
"286";6;10;2;2;1;2;1;1;1;5
"287";6;10;3;2;1;2;1;1;3;5
"288";6;10;4;2;2;1;3;2;3;5
"289";6;11;1;2;2;2;3;2;3;4
"290";6;11;2;1;2;2;3;1;3;2
"291";6;11;3;2;1;2;1;1;2;2
